,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
75,Bad Moms,(2016),6.2,No metascore,"109,713","
    When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",R,100 min,"
Comedy            ",Jon Lucas,"['Scott Moore', 'Mila Kunis', 'Kathryn Hahn', 'Kristen Bell', 'Christina Applegate']",$113.26M
76,Dirty Grandpa,(2016),5.9,No metascore,"109,232","
    Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",R,102 min,"
Comedy            ",Dan Mazer,"['Robert De Niro', 'Zac Efron', 'Zoey Deutch', 'Aubrey Plaza']",$35.59M
77,Allegiant,(2016),5.7,No metascore,"104,064","
    After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",PG-13,120 min,"
Action, Adventure, Mystery            ",Robert Schwentke,"['Shailene Woodley', 'Theo James', 'Jeff Daniels', 'Naomi Watts']",$66.18M
78,The Mountain II,(2016),8.9,No metascore,"103,507","
    In a desolate war zone where screams of the innocent echo, seven Maroon Berets will dance with death on the very line between disaster and valor.",No cert,135 min,"
Action, Drama, War            ",Alper Caglar,"['Caglar Ertugrul', 'Ufuk Bayraktar', 'Ahu Türkpençe', 'Murat Serezli']",No Gross
79,Hunt for the Wilderpeople,(2016),7.9,81        ,"102,165","
    A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.",PG-13,101 min,"
Adventure, Comedy, Drama            ",Taika Waititi,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",$5.20M
80,Gods of Egypt,(2016),5.4,No metascore,"101,804","
    Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",PG-13,127 min,"
Action, Adventure, Fantasy            ",Alex Proyas,"['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler', 'Chadwick Boseman']",$31.15M
81,Swiss Army Man,(2016),7.0,64        ,"101,128","
    A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.",R,97 min,"
Comedy, Drama, Fantasy            ",Dan Kwan,"['Daniel Scheinert', 'Paul Dano', 'Daniel Radcliffe', 'Mary Elizabeth Winstead', 'Antonia Ribero']",$4.21M
82,The Handmaiden,(2016),8.1,84        ,"100,378","
    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Not Rated,145 min,"
Drama, Romance, Thriller            ",Chan-wook Park,"['Min-hee Kim', 'Jung-woo Ha', 'Jin-woong Cho', 'So-Ri Moon']",$2.01M
83,The Edge of Seventeen,(2016),7.3,77        ,"98,043","
    High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",R,104 min,"
Comedy, Drama            ",Kelly Fremon Craig,"['Hailee Steinfeld', 'Haley Lu Richardson', 'Blake Jenner', 'Kyra Sedgwick']",$14.26M
84,Why Him?,(2016),6.2,No metascore,"97,275","
    A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.",R,111 min,"
Comedy            ",John Hamburg,"['Zoey Deutch', 'James Franco', 'Tangie Ambrose', 'Cedric the Entertainer']",$60.32M
