,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
35,Hell or High Water,(II) (2016),7.6,88        ,"194,747","
    A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.",R,102 min,"
Action, Crime, Drama            ",David Mackenzie,"['Chris Pine', 'Ben Foster', 'Jeff Bridges', 'Gil Birmingham']",$26.86M
36,Hidden Figures,(2016),7.8,74        ,"189,768","
    The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.",PG,127 min,"
Biography, Drama, History            ",Theodore Melfi,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe', 'Kevin Costner']",$169.61M
37, Game of Thrones,(2011–2019),9.9,No metascore,"185,913","
    Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.",TV-MA,60 min,"
Action, Adventure, Drama            ",Miguel Sapochnik,"['Peter Dinklage', 'Kit Harington', 'Emilia Clarke', 'Liam Cunningham']",No Gross
38,The Magnificent Seven,(2016),6.9,No metascore,"179,257","
    Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.",PG-13,132 min,"
Action, Adventure, Western            ",Antoine Fuqua,"['Denzel Washington', 'Chris Pratt', 'Ethan Hawke', ""Vincent D'Onofrio""]",$93.43M
39,Assassin's Creed,(2016),5.7,No metascore,"178,899","
    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",PG-13,115 min,"
Action, Adventure, Sci-Fi            ",Justin Kurzel,"['Michael Fassbender', 'Marion Cotillard', 'Jeremy Irons', 'Brendan Gleeson']",$54.65M
40,Captain Fantastic,(2016),7.9,72        ,"178,613","
    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",R,118 min,"
Comedy, Drama            ",Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",$5.88M
41,The Secret Life of Pets,(2016),6.5,61        ,"177,491","
    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",PG,87 min,"
Animation, Adventure, Comedy            ",Chris Renaud,"['Yarrow Cheney', 'Louis C.K.', 'Eric Stonestreet', 'Kevin Hart', 'Lake Bell']",$368.38M
42,Your Name.,(2016),8.4,79        ,"170,781","
    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",PG,106 min,"
Animation, Drama, Fantasy            ",Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki']",$5.02M
43,Sausage Party,(2016),6.1,66        ,"170,003","
    A sausage strives to discover the truth about his existence.",R,89 min,"
Animation, Adventure, Comedy            ",Greg Tiernan,"['Conrad Vernon', 'Seth Rogen', 'Kristen Wiig', 'Jonah Hill', 'Alistair Abell']",$97.69M
44,War Dogs,(2016),7.1,No metascore,"169,397","
    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",R,114 min,"
Biography, Comedy, Crime            ",Todd Phillips,"['Jonah Hill', 'Miles Teller', 'Steve Lantz', 'Gregg Weiner']",$43.03M
45,The Promise,(II) (2016),6.0,No metascore,"166,616","
    Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",PG-13,133 min,"
Action, Adventure, Drama            ",Terry George,"['Oscar Isaac', 'Charlotte Le Bon', 'Christian Bale', 'Daniel Giménez Cacho']",No Gross
46,The Girl on the Train,(2016),6.5,No metascore,"162,924","
    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.",R,112 min,"
Crime, Drama, Mystery            ",Tate Taylor,"['Emily Blunt', 'Haley Bennett', 'Rebecca Ferguson', 'Justin Theroux']",$75.40M
47,Independence Day: Resurgence,(2016),5.2,No metascore,"162,157","
    Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",PG-13,120 min,"
Action, Adventure, Sci-Fi            ",Roland Emmerich,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman', 'Maika Monroe']",$103.14M
48,The Legend of Tarzan,(2016),6.2,No metascore,"159,092","
    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",PG-13,110 min,"
Action, Adventure, Drama            ",David Yates,"['Alexander Skarsgård', 'Rory J. Saper', 'Christian Stevens', 'Christoph Waltz']",$126.64M
49,Central Intelligence,(2016),6.3,No metascore,"152,562","
    After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",PG-13,107 min,"
Action, Comedy, Crime            ",Rawson Marshall Thurber,"['Dwayne Johnson', 'Kevin Hart', 'Danielle Nicolet', 'Amy Ryan']",$127.44M
50,Inferno,(I) (2016),6.2,No metascore,"151,779","
    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",PG-13,121 min,"
Action, Adventure, Crime            ",Ron Howard,"['Tom Hanks', 'Felicity Jones', 'Irrfan Khan', 'Ben Foster']",$34.34M
51,Miss Peregrine's Home for Peculiar Children,(2016),6.7,No metascore,"150,324","
    When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",PG-13,127 min,"
Adventure, Drama, Family            ",Tim Burton,"['Eva Green', 'Asa Butterfield', 'Samuel L. Jackson', 'Judi Dench']",$87.24M
52,Deepwater Horizon,(2016),7.1,68        ,"144,689","
    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",PG-13,107 min,"
Action, Drama, History            ",Peter Berg,"['Mark Wahlberg', 'Kurt Russell', 'Douglas M. Griffin', 'James DuMont']",$61.43M
53,Dangal,(2016),8.4,No metascore,"143,508","
    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",Not Rated,161 min,"
Action, Biography, Drama            ",Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']",$12.39M
54,Train to Busan,(2016),7.5,72        ,"141,361","
    While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",TV-MA,118 min,"
Action, Horror, Thriller            ",Sang-ho Yeon,"['Yoo Gong', 'Yu-mi Jung', 'Dong-seok Ma', 'Su-an Kim']",$2.13M
55,London Has Fallen,(2016),5.9,No metascore,"139,472","
    In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",R,99 min,"
Action, Thriller            ",Babak Najafi,"['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman', 'Angela Bassett']",$62.68M
56,Allied,(2016),7.1,No metascore,"136,119","
    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",R,124 min,"
Action, Drama, Romance            ",Robert Zemeckis,"['Brad Pitt', 'Marion Cotillard', 'Jared Harris', 'Vincent Ebrahim']",$40.10M
